Time,Temperature,Humidity,Speed,Direction,Rain,Sunlight,PM2.5,PM10
00:00:34,29.27,56.66,0,90,0,0,7,10
00:01:38,29.28,56.67,0,90,0,0,6,10
00:02:40,29.29,56.73,0,90,0,0,6,10
00:03:42,29.29,56.66,0,90,0,0,6,10
00:04:45,29.29,56.59,0,90,0,0,6,10
00:05:48,29.29,56.74,0,90,0,0,5,10
00:06:51,29.3,56.89,0,90,0,0,5,10
00:07:54,29.3,56.66,0,90,0,0,6,10
00:08:56,29.3,56.74,0,90,0,0,6,10
00:09:58,29.3,56.69,0,90,0,0,6,10
00:11:01,29.3,56.71,0,90,0,0,6,10
00:12:05,29.31,56.86,0,90,0,0,6,10
00:13:06,29.31,56.83,0,90,0,0,6,10
00:14:09,29.31,56.74,0,90,0,0,6,10
00:15:13,29.32,56.8,0,90,0,0,8,10
00:16:14,29.32,56.9,0,90,0,0,5,10
00:17:16,29.32,56.81,0,90,0,0,6,10
00:18:21,29.32,56.85,0,90,0,0,6,10
00:19:21,29.32,56.83,0,90,0,0,7,10
00:20:25,29.33,57.21,0,90,0,0,6,10
00:21:27,29.32,57,0,90,0,0,6,10
00:22:31,29.33,57.01,0,90,0,0,7,10
00:23:33,29.33,57,0,90,0,0,7,10
00:24:36,29.33,56.91,0,90,0,0,6,10
00:26:42,29.34,56.98,0,90,0,0,8,10
00:27:44,29.33,57.08,0,90,0,0,7,10
00:28:47,29.34,56.97,0,90,0,0,5,10
00:29:50,29.34,56.93,0,90,0,0,6,10
00:30:52,29.34,56.93,0,90,0,0,6,10
00:31:56,29.34,57.04,0,90,0,0,6,10
00:32:58,29.34,57,0,90,0,0,6,10
00:34:00,29.34,57.06,0,90,0,0,6,10
00:35:04,29.34,57.06,0,90,0,0,7,10
00:36:05,29.34,57.02,0,90,0,0,6,10
00:37:08,29.34,57.12,0,90,0,0,6,10
00:38:11,29.34,57.18,0,90,0,0,7,10
00:39:15,29.34,57.11,0,90,0,0,7,10
00:40:16,29.35,57.17,0,90,0,0,8,10
00:41:19,29.34,57.21,0,90,0,0,6,10
00:42:22,29.35,57.23,0,90,0,0,6,10
00:43:25,29.35,57.21,0,90,0,0,6,10
00:44:28,29.35,57.11,0,90,0,0,7,10
00:45:32,29.35,57.32,0,90,0,0,6,10
00:46:34,29.36,57.26,0,90,0,0,6,10
00:47:37,29.35,57.2,0,90,0,0,6,10
00:48:39,29.35,57.21,0,90,0,0,6,10
00:49:42,29.35,57.15,0,90,0,0,5,10
00:50:45,29.35,57.15,0,90,0,0,6,10
00:51:48,29.35,57.37,0,90,0,0,6,10
00:52:49,29.35,57.46,0,90,0,0,6,10
00:53:53,29.35,57.47,0,90,0,0,6,10
00:54:55,29.35,57.48,0,90,0,0,6,10
00:55:57,29.35,57.55,0,90,0,0,6,10
00:57:00,29.36,57.54,0,90,0,0,6,10
00:58:04,29.36,57.58,0,90,0,0,6,10
00:59:05,29.35,57.6,0,90,0,0,6,10
01:00:08,29.35,57.64,0,90,0,0,8,10
01:01:10,29.36,57.7,0,90,0,0,6,10
01:02:12,29.35,57.8,0,90,0,0,6,10
01:03:16,29.35,57.66,0,90,0,0,6,10
01:04:18,29.35,57.71,0,90,0,0,6,10
01:05:21,29.36,57.82,0,90,0,0,6,10
01:06:24,29.36,57.88,0,90,0,0,7,10
01:07:26,29.35,57.82,0,90,0,0,6,10
01:08:29,29.36,57.88,0,90,0,0,6,10
01:09:31,29.35,57.85,0,90,0,0,6,10
01:10:34,29.35,57.83,0,90,0,0,6,10
01:11:36,29.36,57.87,0,90,0,0,7,10
01:12:39,29.35,57.92,0,90,0,0,7,10
01:13:43,29.36,58,0,90,0,0,7,10
01:14:44,29.35,57.89,0,90,0,0,8,10
01:15:46,29.35,57.91,0,90,0,0,7,10
01:16:50,29.35,57.99,0,90,0,0,7,10
01:17:51,29.36,58,0,90,0,0,7,10
01:18:54,29.35,58.02,0,90,0,0,7,10
01:19:57,29.36,57.94,0,90,0,0,6,10
01:21:01,29.36,57.93,0,90,0,0,7,10
01:22:02,29.36,57.9,0,90,0,0,6,10
01:23:05,29.36,57.91,0,90,0,0,6,10
01:24:08,29.36,58,0,90,0,0,6,10
01:25:10,29.36,58,0,90,0,0,7,10
01:26:15,29.37,57.94,0,90,0,0,6,10
01:27:15,29.36,57.9,0,90,0,0,7,10
01:28:18,29.37,57.94,0,90,0,0,6,10
01:29:22,29.36,58.05,0,90,0,0,6,10
01:30:24,29.37,57.99,0,90,0,0,6,10
01:31:26,29.37,58.05,0,90,0,0,6,10
01:32:29,29.36,58.06,0,90,0,0,6,10
01:33:32,29.36,58.07,0,90,0,0,7,10
01:34:34,29.36,58.17,0,90,0,0,6,10
01:35:37,29.37,58.13,0,90,0,0,7,10
01:36:40,29.36,58.1,0,90,0,0,6,10
01:37:42,29.36,58.05,0,90,0,0,6,10
01:38:45,29.36,58.05,0,90,0,0,6,10
01:39:49,29.36,58.08,0,90,0,0,8,10
01:40:50,29.36,58.14,0,90,0,0,6,10
01:41:53,29.37,58.15,0,90,0,0,6,10
01:42:56,29.37,58.16,0,90,0,0,6,10
01:43:59,29.37,58.06,0,90,0,0,7,10
01:45:02,29.37,58.13,0,90,0,0,7,10
01:46:05,29.37,58.18,0,90,0,0,8,10
01:47:07,29.37,58.18,0,90,0,0,7,10
01:48:09,29.37,58.27,0,90,0,0,7,10
01:49:12,29.37,58.29,0,90,0,0,6,10
01:50:15,29.37,58.25,0,90,0,0,7,10
01:51:18,29.37,58.31,0,90,0,0,7,10
01:52:22,29.37,58.29,0,90,0,0,6,10
01:53:23,29.36,58.1,0,90,0,0,7,10
01:54:26,29.37,58.22,0,90,0,0,6,10
01:55:30,29.37,58.1,0,90,0,0,6,10
01:56:31,29.37,58.19,0,90,0,0,7,10
01:57:34,29.37,58.26,0,90,0,0,7,10
01:58:36,29.37,58.37,0,90,0,0,6,10
01:59:39,29.37,58.22,0,90,0,0,6,10
02:00:42,29.37,58.24,0,90,0,0,8,10
02:01:44,29.37,58.38,0,90,0,0,7,10
02:02:46,29.37,58.32,0,90,0,0,6,10
02:03:49,29.37,58.38,0,90,0,0,7,10
02:04:52,29.37,58.39,0,90,0,0,7,10
02:05:54,29.37,58.4,0,90,0,0,6,10
02:06:56,29.38,58.41,0,90,0,0,8,10
02:07:59,29.38,58.43,0,90,0,0,6,10
02:09:01,29.37,58.47,0,90,0,0,6,10
02:10:04,29.38,58.47,0,90,0,0,7,10
